Reference,Quantity,Value,Remarks
C1,1,1500u/25V,???????
C11;C12;C14;C13;C8;C17;C18;C2;C16;C9;C15;C10;C19;C20;C21;C22;C28;C24;C26;C29;C27;C25;C23;C34;C35;C41;C40;C42;C39;C38;C44;C43;C60;C61;C62;C55;C49;C63;C46;C64;C54;C48;C47;C52;C59;C65;C58;C57;C71;C72;C77;C82;C78;C83;C79;C84;C80;C85;C81;C86;C73;C74;C75;C76,64,0.1u/50V,??????????
C3;C4,2,10u/400V,???????
C5;C7;C87;C88;C30;C32;C31;C33;C36;C37;C45;C50;C53;C56;C51;C66;C67;C68;C69;C70,20,1u/50V,??????????
C6,1,100u/16V,???????
C94;C95;C96;C97;C98;C99;C100,7,10u/25V,??????????
CDS1,1,GL5528,
CN1,1,B3P-VH(LF)(SN),JST
CN3,1,XH_B8B-XH-A,JST
CN4;CN2,2,XH_B4B-XH-A,JST
D1,1,S1ZB,
D10,1,LED,
D4;D5;D7;D8,4,UF2010,
D6,1,GDZJ4.7C,
D9;D3;D11;D2,4,BAT43,
IC1;IC4;IC6,3,74HC14,
IC13;IC27;IC29;IC28;IC45;IC53;IC54;IC55,8,74HC04,
IC15;IC12;IC11;IC38;IC35;IC34,6,74HC32,
IC16,1,74HC283,
IC17;IC14;IC33;IC31;IC30;IC43;IC44;IC46,8,74HC08,
IC2,1,LM2940T-5.0,
IC20;IC21;IC22;IC23;IC18;IC19,6,74HC157,
IC25;IC26;IC24;IC39,4,74HC273,
IC3,1,NJU7043,
IC32,1,74HC541,
IC36;IC42;IC37;IC56;IC57;IC58,6,74HC21,
IC40;IC41;IC47;IC48;IC49;IC50;IC51;IC52,8,74HC161,
IC5,1,LM393,
IC7;IC8;IC9;IC10,4,K155ID1,
NE1;NE2;NE3,3,Lamp_Neon,????
NX1;NX2;NX3;NX4,4,IN-12A,?????(????????)
PC1,1,TLP222G-2,
Q1;Q2,2,MPSA42,
R11,1,2.7k/5%,
R13;R12;R7;R15;R35;R38,6,100k/5%,
R14;R3;R22;R21;R20;R23;R24;R5,8,4.7k/5%,
R17;R16;R1;R36;R39,5,10k/5%,
R18;R19,2,330/5%,
R2,1,8.2k/5%,
R25;R26;R27;R28;R10;R9;R29,7,1k/5%,
R30,1,0,
R31;R32;R33;R34;R53;R54;R55;R52,8,20k/5%/0.5W,
R37;R40;R41,3,200k/5%/0.5W,
R4,1,6.8k/5%,
R44;R45;R46;R47;R48;R49;R50;R51;R42;R43,10,33/5%,
R56;R57;R58,3,33k/5%/0.5W,
R6,1,3.3k/5%,
R8,1,1M/5%/0.5W,
RV2;RV1,2,Bourns_3296W/10k,????????
SW1;SW3;SW4,3,TVDT18-050CB-T,???????????
SW2;SW5,2,IS-2235-G,????????????
T1,1,HP-612,????????
,,HT-1205,??????
C89;C90;C93;C91;C92,5,UnPop,???
